275, 115.0, 856
276, 185.0, 815
277, 50.0, 390
278, 120.0, 781
279, 130.0, 705
280, 240.0, 984
281, 645.0, 1114
282, 200.0, 799
283, 140.0, 770
284, 80.0, 704
285, 275.0, 968
286, 310.0, 987
287, 55.0, 419
288, 335.0, 806
289, 30.0, 469
290, 170.0, 958
291, 120.0, 702
292, 35.0, 472
293, 375.0, 790
294, 105.0, 656
295, 425.0, 1089
296, 460.0, 1144
297, 400.0, 1259
298, 365.0, 832
299, 120.0, 803
300, 130.0, 654
301, 410.0, 1060
302, 260.0, 918
303, 240.0, 796
304, 150.0, 973
305, 130.0, 654
306, 40.0, 377
307, 105.0, 727
308, 50.0, 409
309, 130.0, 627
310, 110.0, 798
311, 220.0, 1086
312, 260.0, 797
313, 135.0, 803
314, 110.0, 683
315, 215.0, 584
316, 185.0, 793
317, 120.0, 640
318, 410.0, 836
319, 155.0, 798
320, 80.0, 410
321, 230.0, 988
322, 225.0, 589
323, 135.0, 670
324, 235.0, 1049
325, 75.0, 616
326, 120.0, 699
327, 55.0, 587
328, 135.0, 794
329, 70.0, 521
330, 490.0, 1232
331, 380.0, 896
332, 25.0, 551
333, 150.0, 820
334, 135.0, 823
335, 185.0, 1025
336, 325.0, 1163
337, 200.0, 682
338, 115.0, 804
339, 110.0, 634
340, 225.0, 784
341, 100.0, 1038
342, 210.0, 687
343, 200.0, 635
344, 350.0, 1148
345, 160.0, 634
346, 150.0, 930
347, 135.0, 671
348, 145.0, 781
349, 275.0, 1121
350, 210.0, 823
351, 105.0, 674
352, 120.0, 762
353, 415.0, 1240
354, 310.0, 1061
355, 185.0, 586
356, 155.0, 738
357, 105.0, 697
358, 15.0, 411
359, 340.0, 1356
360, 50.0, 623
361, 75.0, 522
362, 180.0, 885
363, 355.0, 814
364, 25.0, 469
365, 90.0, 661
366, 260.0, 1306
367, 445.0, 1272
368, 50.0, 675
369, 205.0, 782
370, 200.0, 814
371, 415.0, 1108
372, 330.0, 926
373, 105.0, 676
374, 205.0, 739
375, 120.0, 786
376, 520.0, 1068
377, 135.0, 893
378, 320.0, 1264
379, 255.0, 1239
380, 120.0, 621
381, 125.0, 859
382, 215.0, 854
383, 170.0, 694
384, 465.0, 1513
385, 30.0, 642
386, 85.0, 615
387, 70.0, 653
388, 105.0, 637
389, 105.0, 677
390, 110.0, 891
391, 165.0, 1081
392, 20.0, 517
393, 145.0, 1076
394, 15.0, 401
395, 190.0, 1721
396, 105.0, 649
397, 65.0, 364
